category_id,category_name,active_listings
MCO1574,Hogar y Muebles,9264043
MCO3025,"Libros, Revistas y Comics",5625657
MCO1747,Accesorios para Vehículos,3695312
MCO1430,Ropa y Accesorios,2681438
MCO1246,Belleza y Cuidado Personal,2593385
MCO1132,Juegos y Juguetes,2095312
MCO1276,Deportes y Fitness,1671117
MCO175794,Herramientas,1417709
MCO1648,Computación,1312653
MCO118204,"Recuerdos, Piñatería y Fiestas",1270963
MCO1368,"Arte, Papelería y Mercería",1199001
MCO3937,Relojes y Joyas,1178942
MCO1000,"Electrónica, Audio y Video",1118751
MCO1071,Animales y Mascotas,1095236
MCO1051,Celulares y Teléfonos,951694
MCO1384,Bebés,940843
MCO180800,Salud y Equipamiento Médico,897596
MCO5726,Electrodomésticos,885726
MCO1499,Industrias y Oficinas,574405
MCO172890,Construcción,430520
MCO1039,Cámaras y Accesorios,423465
MCO1182,Instrumentos Musicales,369241
MCO1403,Alimentos y Bebidas,316195
MCO1953,Otras categorías,194794
MCO1168,"Música, Películas y Series",172821
MCO1144,Consolas y Videojuegos,143160
MCO1367,Antigüedades y Colecciones,132138
MCO1459,Inmuebles,107997
MCO441917,Agro,68998
MCO1743,"Carros, Motos y Otros",60236
MCO1540,Servicios,1971
MCO40433,Boletas para Espectáculos,441
