Nombre,Marca,Tienda,Puntuacion,Cantidad de puntuaciones,Precio real,Precio oferta,Descuento,Imagen
"Mutant Amino 300 Tab, Aminoácidos Pastillas Bcaa + Eaa",MUTANT,Por INTERSPORT ,4.3,(3),S/149,S/106,28% OFF,https://http2.mlstatic.com/D_Q_NP_2X_634079-MPE71095869217_082023-AB-mutant-amino-300-tab-aminoacidos-pastillas-bcaa-eaa.webp
Auriculares Inalámbricos Xiaomi Redmi Buds 6 Play Bluetooth Color Rosa,XIAOMI,Por Ofertec ,4.7,(1831),S/99,"S/56,43",43% OFF,https://http2.mlstatic.com/D_Q_NP_2X_711839-MLA83161279255_032025-AB.webp
Isdin Fusion Water Color Light Spf50 50ml Oil Control,ISDIN,Por Dermotienda Shopping ,4.9,(19),"S/124,90","S/87,40",30% OFF,https://http2.mlstatic.com/D_Q_NP_2X_691073-MPE82435895876_022025-AB.webp
Medias Antideslizantes Marinera/yoga/pilates/ballet,PRO SPORTS PERÚ,No disponible,4.7,(10),"S/49,90","S/35,04",29% OFF,https://http2.mlstatic.com/D_Q_NP_2X_829954-MPE48030065791_102021-AB-medias-antideslizantes-marinerayogapilatesballet.webp
Motul 7100 Aceite Motor 20w50 1l Fs,MOTUL,Por Motul ,4.9,(39),"S/52,17","S/42,27",18% OFF,https://http2.mlstatic.com/D_Q_NP_2X_684106-MLA79351013527_092024-AB-motul-7100-aceite-motor-20w50-1l-fs.webp
Renöva+ - Colágeno Hidrolizado Con Biopéptidos Activos Berries,RENÖVA+,No disponible,5.0,(1),"S/179,99","S/143,99",20% OFF,https://http2.mlstatic.com/D_Q_NP_2X_708428-MPE83876204898_042025-AB.webp
Fotoprotector Mineral Fusion Fluid Spf50+ Isdin 50 Ml,ISDIN,Por Dermotienda Shopping ,5.0,(7),"S/119,90","S/92,50",22% OFF,https://http2.mlstatic.com/D_Q_NP_2X_980949-MPE69889414625_062023-AB.webp
"Haylou S30 Pro Anc Audífonos Diadema Gamer Inalámbricos/con Micrófono, Bluetooth 5.4, Llamadas Manos Libres, Cancelación De Ruido Adaptativa De - 43db, Controlador 40mm, 80h Reproducción, Azul Oscuro",HAYLOU,Por Orrohome ,5.0,(1),S/259,S/139,46% OFF,https://http2.mlstatic.com/D_Q_NP_2X_972561-MLU77243949115_062024-AB.webp
Cerave Limpiador Control Imperfeciones - 236ml,CERAVE,Por Cerave ,4.8,(106),"S/68,90","S/52,90",23% OFF,https://http2.mlstatic.com/D_Q_NP_2X_703075-MPE81969572408_022025-AB-cerave-limpiador-control-imperfeciones-236ml.webp
"Nutricost Omega 3, Epa 1200 Mg Dha 910 Mg 120 Sgels Sabor Sin Sabor",NUTRICOST,Por Bay Natural ,4.7,(269),S/109,"S/79,90",26% OFF,https://http2.mlstatic.com/D_Q_NP_2X_736958-MLU76278434813_052024-AB.webp
Apple iPhone 13 (128 Gb) - Azul Medianoche - Distribuidor Autorizado,APPLE,Por Apple ,4.8,(453),S/2.351,S/1.969,16% OFF,https://http2.mlstatic.com/D_Q_NP_2X_973345-MLA47781591382_102021-AB.webp
"Necesser De Viaje Toiletry Kit Color Negro, Wenger Color Negro Diseño De La Tela Lisa",WENGER,Por Wenger ,5.0,(4),S/59,"S/51,33",13% OFF,https://http2.mlstatic.com/D_Q_NP_2X_733113-MLA84556664042_052025-AB.webp
Almohada Para Embarazo Premium 360 Color Gris Almohada Embarazo,QUÉ PATAS PET SHOP,Por Que Patas Pet Shop ,5.0,(1),"S/252,68",S/155,38% OFF,https://http2.mlstatic.com/D_Q_NP_2X_835917-MLA84254705058_052025-AB.webp
Apple iPad Wifi 11th Gen (128gb) - Plata,APPLE,Por Apple ,No disponible,No disponible,S/1.839,S/1.549,15% OFF,https://http2.mlstatic.com/D_Q_NP_2X_987314-MPE84764911525_052025-AB-apple-ipad-wifi-11th-gen-128gb-plata.webp
Cerave Locion Facial Hidratante Pm - 52ml,CERAVE,Por Cerave ,4.8,(8),"S/60,90",S/47,22% OFF,https://http2.mlstatic.com/D_Q_NP_2X_666443-MPE84469120229_052025-AB-cerave-locion-facial-hidratante-pm-52ml.webp
